x,y,species cloglog values
602.0,602.0,0.02166525
603.0,603.0,0.031143976
604.0,604.0,0.07376257
605.0,605.0,0.49647573
606.0,606.0,0.026066912
607.0,607.0,0.54285526
608.0,608.0,0.043132175
609.0,609.0,0.00660094
610.0,610.0,0.048797403
611.0,611.0,0.27296954
612.0,612.0,0.04987166
613.0,613.0,0.17686519
614.0,614.0,0.01633499
615.0,615.0,0.0067007826
616.0,616.0,0.031606592
617.0,617.0,0.119128115
618.0,618.0,0.75164056
619.0,619.0,0.7342952
620.0,620.0,0.19375564
621.0,621.0,0.70429397
622.0,622.0,0.049989343
623.0,623.0,0.36071363
624.0,624.0,0.009577422
625.0,625.0,0.06663873
626.0,626.0,0.7185689
627.0,627.0,0.10293271
628.0,628.0,0.5150619
629.0,629.0,0.68724704
630.0,630.0,0.6024684
631.0,631.0,0.07407275
632.0,632.0,0.44338205
633.0,633.0,0.18879732
634.0,634.0,0.606385
635.0,635.0,0.9262565
636.0,636.0,0.38866243
637.0,637.0,0.18764749
638.0,638.0,0.267144
639.0,639.0,0.18737331
640.0,640.0,0.16828497
641.0,641.0,0.067011826
642.0,642.0,0.6174831
643.0,643.0,0.7068716
644.0,644.0,0.024015764
645.0,645.0,0.2507964
646.0,646.0,0.15581593
647.0,647.0,0.1360316
648.0,648.0,0.20025307
649.0,649.0,0.040684212
650.0,650.0,0.3495876
651.0,651.0,0.07231717
652.0,652.0,0.21879432
653.0,653.0,0.41953912
654.0,654.0,0.16637222
655.0,655.0,0.028242884
656.0,656.0,0.014983573
657.0,657.0,0.6035362
658.0,658.0,0.21941413
659.0,659.0,0.12118985
660.0,660.0,0.02597959
661.0,661.0,0.012613282
662.0,662.0,9.774755E-4
663.0,663.0,0.04450393
664.0,664.0,0.7229795
665.0,665.0,0.1075446
666.0,666.0,0.22238642
667.0,667.0,0.07263801
668.0,668.0,7.6582056E-4
669.0,669.0,0.0038065217
670.0,670.0,0.17175665
671.0,671.0,0.1638822
672.0,672.0,0.69010717
673.0,673.0,0.041620184
674.0,674.0,0.033764955
675.0,675.0,0.052059323
676.0,676.0,0.40828776
677.0,677.0,0.39116156
678.0,678.0,0.15949301
679.0,679.0,0.020288866
680.0,680.0,0.7753803
681.0,681.0,0.15143973
682.0,682.0,0.022772387
683.0,683.0,0.033275437
684.0,684.0,0.17473848
685.0,685.0,0.948705
686.0,686.0,0.04446654
687.0,687.0,0.07481987
688.0,688.0,0.031110486
689.0,689.0,0.0023129391
690.0,690.0,0.00808724
691.0,691.0,0.1806948
692.0,692.0,0.2813368
693.0,693.0,0.9015411
694.0,694.0,0.23272842
695.0,695.0,0.04003278
696.0,696.0,0.8358563
697.0,697.0,0.12461474
698.0,698.0,0.1883272
699.0,699.0,0.038741406
700.0,700.0,0.20324753
701.0,701.0,0.13441849
702.0,702.0,0.08877369
703.0,703.0,0.016043294
704.0,704.0,0.12480627
705.0,705.0,0.07795068
706.0,706.0,0.50191724
707.0,707.0,0.019577084
708.0,708.0,0.35019097
709.0,709.0,0.058002565
710.0,710.0,0.0972426
711.0,711.0,0.3881178
712.0,712.0,0.091617666
713.0,713.0,0.046084143
714.0,714.0,0.15871423
715.0,715.0,0.6809768
716.0,716.0,0.18981855
717.0,717.0,0.0074497447
718.0,718.0,0.024522884
719.0,719.0,0.063918486
720.0,720.0,0.007895984
721.0,721.0,0.23516595
722.0,722.0,0.6883979
723.0,723.0,0.062234726
724.0,724.0,0.071967565
725.0,725.0,0.09930045
726.0,726.0,0.19327103
727.0,727.0,0.019666119
728.0,728.0,0.12669748
729.0,729.0,0.14669289
730.0,730.0,0.04920363
731.0,731.0,0.009496259
732.0,732.0,0.049342267
733.0,733.0,0.056835197
734.0,734.0,0.04652977
735.0,735.0,0.35816163
736.0,736.0,0.15221086
737.0,737.0,0.068322286
738.0,738.0,0.7669499
739.0,739.0,0.33838853
740.0,740.0,0.013039383
741.0,741.0,0.8916792
742.0,742.0,0.058663845
743.0,743.0,0.56319195
744.0,744.0,0.09046278
745.0,745.0,0.2422544
746.0,746.0,0.58606166
747.0,747.0,0.5767315
748.0,748.0,0.05275626
749.0,749.0,0.56306815
750.0,750.0,0.02788857
751.0,751.0,0.056411594
752.0,752.0,0.4419206
753.0,753.0,0.14578523
754.0,754.0,0.003396254
755.0,755.0,0.10141332
756.0,756.0,0.1713037
757.0,757.0,0.51216567
758.0,758.0,0.051143568
759.0,759.0,0.015993716
760.0,760.0,0.05326577
761.0,761.0,0.30824256
762.0,762.0,0.09687091
763.0,763.0,0.12629192
