Record ID,Record date,Record time,Species,Lifestage,Sex,Quantity,County,Nearest town/City,Grid ref,Verification state,Latitude,Longitude
50205,2022-03-26,14:30:00,Adder,Adult,unknown,1,Angus,Glenesk,NO48,Considered Correct,56.90743461425339,-2.9869377719050383
50203,2022-03-26,12:18:00,Common lizard,Adult,unknown,3,Stirling,,NS69,Considered Correct,56.082247660976726,-4.252205719694728
50192,2022-03-26,15:45:00,Common lizard,Adult,male,2,Aberdeenshire,,NJ55,Considered Correct,57.537360442250275,-2.8368407484693012
50190,2022-03-26,15:40:00,Common toad,Adult,unknown,1,Fife,Cupar,NO32,Considered Correct,56.367112579365134,-3.1348510785214416
50189,2022-03-26,15:30:00,Common toad,Adult,unknown,4,Fife,Cupar,NO32,Considered Correct,56.367112579365134,-3.1348510785214416
50188,2022-03-26,15:30:00,Common toad,Adult,unknown,5,Fife,Cupar,NO32,Considered Correct,56.367112579365134,-3.1348510785214416
50132,2022-03-25,19:45:00,Unknown frog or toad,Young,unknown,10,Moray,Fochabers,NJ35,Considered Correct,57.53470438174868,-3.1709126286567515
50122,2022-03-25,20:45:00,Unknown newt,Young,female,2,North Lanarkshire,Caldercruix,NS86,Considered Correct,55.81829795367108,-3.917319228356676
50117,2022-03-25,11:20:00,Slow-worm,Adult,unknown,1,Argyll and Bute,,NN31,Considered Correct,56.25200516420609,-4.747274001169642
50116,2022-03-25,11:28:00,Common lizard,Adult,unknown,1,South Ayrshire,,NS21,Considered Correct,55.350954743605605,-4.842469370040295
50115,2022-03-20,20:30:00,Common frog,Adult,female,2,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50114,2022-03-20,20:30:00,Common frog,Adult,male,3,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50113,2022-03-20,20:30:00,Palmate newt,Adult,male,2,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50112,2022-03-20,20:30:00,Palmate newt,Adult,female,2,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50111,2022-03-23,20:30:00,Common toad,Adult,female,1,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50110,2022-03-23,20:30:00,Common toad,Adult,male,3,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50109,2022-03-23,20:00:00,Common toad,Adult,female,1,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50108,2022-03-23,20:00:00,Common toad,Adult,male,2,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50107,2022-03-23,10:45:00,Common toad,Adult,female,1,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50106,2022-03-23,10:45:00,Common toad,Adult,male,2,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
50064,2022-03-24,10:41:00,Unknown frog or toad,Adult,unknown,2,Stirling,,NS68,Considered Correct,55.99247065834149,-4.246974641507551
50048,2022-03-24,10:00:00,Common toad,Spawn,unknown,30,Midlothian,Loanhead,NT26,Considered Correct,55.82658918429095,-3.278744634866987
50047,2022-03-24,10:00:00,Common toad,Adult,unknown,20,Midlothian,Loanhead,NT26,Considered Correct,55.82658918429095,-3.278744634866987
50046,2022-03-24,10:00:00,Common toad,Dead,unknown,1,Midlothian,Loanhead,NT26,Considered Correct,55.82658918429095,-3.278744634866987
50043,2022-03-19,15:40:00,Adder,Adult,male,1,Scottish Borders,Greenlaw,NT74,Considered Correct,55.65260168387493,-2.4783090178820775
50023,2022-03-19,,Common toad,Spawn,unknown,2,Argyll and Bute,Aros,NM54,Considered Correct,56.48552412586428,-6.067921489202054
50022,2022-03-19,,Common frog,Tadpoles,unknown,Qty unknown,Argyll and Bute,Aros,NM54,Considered Correct,56.48552412586428,-6.067921489202054
50021,2022-03-19,,Common frog,Spawn,unknown,20,Argyll and Bute,Aros,NM54,Considered Correct,56.48552412586428,-6.067921489202054
50020,2022-03-20,14:41:00,Slow-worm,Adult,unknown,1,Argyll and Bute,Tobermory,NM45,Considered Correct,56.56970636133549,-6.2406102142814985
50019,2022-03-20,14:41:00,Adder,Adult,male,3,Argyll and Bute,Tobermory,NM45,Considered Correct,56.56970636133549,-6.2406102142814985
50018,2022-03-23,14:00:00,Common lizard,Adult,unknown,1,Argyll and Bute,Mull,NM45,Considered Correct,56.56970636133549,-6.2406102142814985
50017,2022-03-23,14:00:00,Common toad,Adult,male,1,Argyll and Bute,Mull,NM45,Considered Correct,56.56970636133549,-6.2406102142814985
50013,2022-03-23,12:10:00,Common lizard,Young,unknown,1,Moray,,NJ36,Considered Correct,57.624509444424845,-3.1738021404870245
50012,2022-03-23,12:10:00,Common lizard,Young,unknown,1,Moray,Garmouth,NJ36,Considered Correct,57.624509444424845,-3.1738021404870245
49990,2022-03-22,12:08:00,Common lizard,Adult,unknown,1,Perth and Kinross,Stanley,NO13,Considered Correct,56.45353844050548,-3.4620766933756277
49951,2022-03-20,15:30:00,Common frog,Adult,unknown,100,Perth and Kinross,,NN83,Considered Correct,56.4468539552689,-3.948892456950427
49950,2022-03-20,15:00:00,Common lizard,Adult,unknown,1,Perth and Kinross,,NN83,Considered Correct,56.4468539552689,-3.948892456950427
49949,2022-03-20,15:00:00,Common frog,Adult,male,6,Perth and Kinross,,NN83,Considered Correct,56.4468539552689,-3.948892456950427
49948,2022-03-20,14:00:00,Common toad,Adult,unknown,3,Perth and Kinross,,NN83,Considered Correct,56.4468539552689,-3.948892456950427
49947,2022-03-20,14:00:00,Common frog,Adult,unknown,100,Perth and Kinross,,NN83,Considered Correct,56.4468539552689,-3.948892456950427
49946,2022-03-19,16:00:00,Common frog,Adult,unknown,300,Perth and Kinross,,NN85,Considered Correct,56.62642740450311,-3.95814886728852
49945,2022-03-19,14:00:00,Common frog,Adult,male,10,Perth and Kinross,,NN85,Considered Correct,56.62642740450311,-3.95814886728852
49944,2022-03-19,14:00:00,Common frog,Adult,unknown,20,Perth and Kinross,,NN85,Considered Correct,56.62642740450311,-3.95814886728852
49862,2022-03-19,14:30:00,Common frog,Adult,unknown,6,Scottish Borders,St. Boswells,NT53,Considered Correct,55.561107077256786,-2.794320219049265
49800,2022-03-17,17:20:00,Palmate newt,Young,male,1,East Dunbartonshire,Bishopbriggs,NS67,Considered Correct,55.902692018911104,-4.241773291900546
49757,2022-03-16,08:45:00,Great crested newt,Adult,unknown,1,Perth and Kinross,Donavourd,NN95,Unable to Verify,56.62888389266282,-3.7951070800556357
49744,2022-03-15,21:30:00,Palmate newt,Adult,unknown,10,North Ayrshire,Beith,NS35,Considered Correct,55.713533630696396,-4.709273042274895
49743,2022-03-15,21:30:00,Common frog,Adult,unknown,20,North Ayrshire,Beith,NS35,Considered Correct,55.713533630696396,-4.709273042274895
49741,2022-03-15,19:11:00,Common toad,Young,male,12,Aberdeenshire,Crathes,NO79,Considered Correct,57.00018348036812,-2.49547272836101
49740,2022-03-15,19:11:00,Smooth newt,Adult,male,1,Aberdeenshire,Crathes,NO79,Considered Correct,57.00018348036812,-2.49547272836101
49732,2022-03-14,15:00:00,Common lizard,Adult,unknown,1,Moray,Hopeman,NJ16,Considered Correct,57.62095800911724,-3.508696234683651
49726,2022-03-14,22:30:00,Unknown newt,Young,unknown,1,West Lothian,Blackburn,NS96,Considered Correct,55.820681008092585,-3.757676742329605
49725,2022-03-14,22:30:00,Palmate newt,Young,male,1,West Lothian,Blackburn,NS96,Considered Correct,55.820681008092585,-3.757676742329605
49722,2022-03-13,10:15:00,Unknown newt,Adult,female,9,Dumfries and Galloway,,NT00,Considered Correct,55.28394396578593,-3.576294865827029
49698,2022-03-13,19:00:00,Palmate newt,Young,unknown,1,North Lanarkshire,Cumbernauld,NS77,Considered Correct,55.905497845149284,-4.081763542363606
49697,2022-03-13,14:54:00,Smooth newt,Adult,male,,East Renfrewshire,,NS55,Considered Correct,55.720136869995855,-4.390731393071443
49617,2022-03-12,14:30:00,Common frog,Adult,unknown,1,Aberdeen City,Summerfield,NJ80,Considered Correct,57.09055715470848,-2.3316581628672393
49603,2022-03-11,22:45:00,Common toad,Adult,female,1,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
49602,2022-03-11,22:45:00,Common toad,Adult,male,3,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
49601,2022-03-11,22:45:00,Common frog,Adult,male,1,East Ayrshire,Catrine,NS52,Considered Correct,55.45081118810808,-4.374388244647042
49599,2022-03-11,08:00:00,Common frog,Adult,unknown,1,Fife,Cellardyke,NO50,Considered Correct,56.18998599052381,-2.8072698433847565
49553,2022-03-10,19:37:00,Palmate newt,Adult,male,3,Clackmannanshire,Alloa,NS89,Considered Correct,56.087688414280585,-3.9306960832151563
49551,2022-03-10,20:30:00,Unknown newt,Young,unknown,1,Dumfries and Galloway,Gatehouse of Fleet,NX65,Considered Correct,54.82522098438079,-4.181594114985339
49469,2022-03-07,,Adder,Adult,male,1,Renfrewshire,Linwood,NS46,Considered Correct,55.80669924467339,-4.55587948520582
49320,2022-03-01,15:45:00,Common lizard,Young,female,1,Argyll and Bute,Kilfinan,NR97,Considered Correct,55.87725293358467,-5.361808410462208
49293,2022-02-28,15:00:00,Common lizard,Adult,unknown,1,North Ayrshire,,NS26,Considered Correct,55.79966115311665,-4.87515278369642
49163,2022-02-15,10:00:00,Adder,Adult,male,4,Argyll and Bute,Mull,NM42,Considered Correct,56.30091612158656,-6.210627157483426
49154,2022-02-19,13:15:00,Adder,Adult,male,1,Argyll and Bute,Tobermory,NM45,Considered Correct,56.56970636133549,-6.2406102142814985
49090,2022-02-14,20:15:00,Palmate newt,Young,unknown,1,Falkirk,Bonnybridge,NS88,Considered Correct,55.99789314655498,-3.9262117125458498
49081,2022-02-14,12:30:00,Smooth newt,Adult,male,2,Fife,,NO42,Considered Correct,56.36848864627944,-2.972958613786809
49041,2018-09-05,,Common frog,Adult,unknown,1,Perth and Kinross,Pitlochry,NN95,Considered Correct,56.62888389266282,-3.7951070800556357
49040,2018-09-05,,Common toad,Adult,unknown,12,Perth and Kinross,Pitlochry,NN95,Considered Correct,56.62888389266282,-3.7951070800556357
49038,1970-08-17,,Grass snake,Adult,unknown,1,Dundee City,Dundee,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
49037,1969-08-17,,Slow-worm,Adult,unknown,5,Perth and Kinross,Kenmore,NN74,Considered Correct,56.533980917329124,-4.116161777892761
48930,2021-05-03,12:00:00,Common lizard,Adult,unknown,1,Argyll and Bute,Craignure,NM64,Considered Correct,56.49072529558894,-5.905283031859947
48929,2021-04-10,13:00:00,Adder,Adult,unknown,20,Argyll and Bute,Mull,NM62,Considered Correct,56.311457977801965,-5.886884695079936
48928,2020-06-16,13:00:00,Adder,Adult,male,1,Argyll and Bute,Tobermory,NM45,Considered Correct,56.56970636133549,-6.2406102142814985
48927,2021-02-22,13:00:00,Common lizard,Dead,unknown,1,Argyll and Bute,Mull,NM34,Considered Correct,56.47448927107119,-6.39319294827655
48926,2021-02-22,13:00:00,Adder,Adult,male,1,Argyll and Bute,Mull,NM34,Considered Correct,56.47448927107119,-6.39319294827655
48925,2021-05-22,13:00:00,Adder,Adult,male,1,Argyll and Bute,Craignure,NM73,Considered Correct,56.40606608080464,-5.733801445608834
48924,2021-04-21,12:00:00,Common lizard,Adult,unknown,2,Argyll and Bute,Mull,NM63,Considered Correct,56.40109277628114,-5.896057367692246
48923,2021-04-21,12:00:00,Adder,Adult,male,5,Argyll and Bute,Mull,NM63,Considered Correct,56.40109277628114,-5.896057367692246
48922,2021-04-21,11:00:00,Common lizard,Adult,unknown,1,Argyll and Bute,Mull,NM45,Considered Correct,56.56970636133549,-6.2406102142814985
48921,2021-04-21,11:00:00,Adder,Adult,unknown,1,Argyll and Bute,Mull,NM45,Considered Correct,56.56970636133549,-6.2406102142814985
48912,2022-01-15,13:00:00,Common frog,Adult,unknown,1,Perth and Kinross,,NO13,Considered Correct,56.45353844050548,-3.4620766933756277
48726,2021-12-31,18:40:00,Palmate newt,Adult,female,3,West Lothian,,NS96,Considered Correct,55.820681008092585,-3.757676742329605
48725,2021-12-31,18:40:00,Palmate newt,Adult,male,10,West Lothian,,NS96,Considered Correct,55.820681008092585,-3.757676742329605
48562,2021-08-24,,Palmate newt,Young,unknown,1,Dumfries and Galloway,Kirkcowan,NX26,Considered Correct,54.90220266724439,-4.810691065203119
48561,2021-08-24,,Common lizard,Adult,female,1,Dumfries and Galloway,Kirkcowan,NX26,Considered Correct,54.90220266724439,-4.810691065203119
48540,2021-03-20,,Smooth newt,Adult,female,1,Angus,Broughty Ferry,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
48539,2021-03-08,,Smooth newt,Adult,male,1,Angus,Broughty Ferry,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
48512,2021-12-16,19:04:00,Palmate newt,Adult,female,1,Angus,Broughty Ferry,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
48511,2021-10-18,00:00:00,Common toad,Adult,male,1,Angus,Broughty Ferry,NO43,Considered Correct,56.45831639791984,-2.9752549506073374
