"Record ID","Record date","Record time",Species,Lifestage,Sex,Quantity,County,"Nearest town/City","Grid ref","Verification state"
65058,2024-04-23,10:35:00,Adder,Adult,male,1,"Scottish Borders",Innerleithen,NT32,
65057,2024-03-24,10:58:00,Adder,Adult,male,1,"Scottish Borders",Innerleithen,NT32,
65056,2024-03-24,10:54:00,Adder,Adult,male,1,"Scottish Borders",Innerleithen,NT32,
65055,2024-03-24,10:49:00,Adder,Adult,male,1,"Scottish Borders",Innerleithen,NT32,
65054,2024-03-19,12:56:00,Adder,Adult,male,1,"Scottish Borders",Innerleithen,NT32,
65053,2024-03-19,12:50:00,Adder,Adult,male,1,"Scottish Borders",Innerleithen,NT32,
65044,2024-06-22,16:00:00,"Common frog",Adult,unknown,1,"Perth and Kinross",,NN67,
65043,2024-06-22,12:00:00,"Common lizard",Adult,unknown,1,"Perth and Kinross",,NN66,
64981,2024-06-17,,Adder,unknown,unknown,1,Stirling,,NS59,
64920,2024-06-11,13:30:00,"Common toad",Tadpoles,unknown,"Qty unknown","Argyll and Bute",,NM52,
64919,2024-06-11,14:10:00,"Common lizard",Adult,male,5,"Argyll and Bute",,NM52,
64918,2024-06-14,11:15:00,Slow-worm,Adult,female,1,"Argyll and Bute",,NM35,
64917,2024-06-14,11:30:00,"Common lizard",Adult,female,3,"Argyll and Bute",,NM35,
64916,2024-06-14,17:00:00,Adder,Adult,female,1,"Argyll and Bute",,NM62,
64847,2024-06-15,09:00:00,"Smooth newt",Adult,unknown,1,"East Lothian",Tranent,NT46,
64824,2024-06-13,06:32:00,"Unknown newt",Young,unknown,1,"City Of Edinburgh",Polwarth,NT27,
64740,2024-06-11,11:30:00,"Smooth newt",Young,unknown,1,"Scottish Borders",,NY48,
64737,2024-06-10,13:45:00,Adder,Young,unknown,1,Aberdeenshire,Banchory,NO68,"Considered Correct"
64690,2024-06-04,14:30:00,Adder,Young,unknown,1,"Dumfries and Galloway",Stranraer,NX15,
64687,2024-06-08,17:45:00,"Unknown newt",unknown,unknown,1,"North Ayrshire",Beith,NS35,
64686,2024-06-08,11:15:00,"Palmate newt",Adult,unknown,5,"Perth and Kinross",Blairadam,NT19,
64599,2024-06-03,14:00:00,Adder,Adult,unknown,1,"Argyll and Bute","Pollphail Village",NR96,
64588,2024-06-01,11:00:00,Adder,Young,unknown,1,Moray,,NJ00,"Considered Correct"
