C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif
1.0,0.91658324,0.98137236,0.7640339,0.64782095,0.91955864,0.37639058,0.9584183,0.90701324,0.46201897,0.68412024,0.36505717,0.13008304
1.0,0.85168606,0.9721051,0.9236783,0.64782095,0.70067525,0.21980721,0.9452378,0.9962308,0.16588217,0.7058118,0.22385709,0.23742831
0.9955077,0.7767805,0.92422676,0.9201008,0.64782095,0.9377792,0.41862953,0.8986823,0.95266527,0.8076638,0.89032227,0.24354374,0.12159576
1.0,0.933084,0.9297103,0.6651283,0.058892846,0.95882976,0.1707862,0.9111222,0.9905313,0.16591221,0.7623295,0.2682802,0.27293667
1.0,0.924257,0.9587064,0.9839558,0.8244994,0.9563909,0.24565464,0.8927798,0.9649337,0.47905117,0.76587373,0.32214883,0.14145194
1.0,0.37238473,0.9962001,0.4430883,0.8244994,0.6356224,0.3870685,0.9935712,0.946923,0.42977628,0.7249652,0.29353333,0.19800816
1.0,0.97318697,0.97717166,0.6663808,0.64782095,0.74600226,0.24464422,0.9595761,0.9957947,0.83466774,0.8526209,0.23055278,0.34018034
1.0,0.81368005,0.9652688,0.816803,0.64782095,0.8950459,0.4830588,0.982456,0.982684,0.70162237,0.8000013,0.32799327,0.14597495
1.0,0.57607234,0.9856898,0.8713513,0.58892816,0.8008245,0.26261896,0.96107566,1.0,0.55303454,0.92054343,0.31581625,0.14020775
1.0,0.6598874,0.9675891,0.5920182,0.64782095,0.97842073,0.3875057,0.9283894,0.99474096,0.72941726,0.88434505,0.2975509,0.19115831
1.0,0.86374223,0.9323797,0.6425136,0.58892816,0.9674619,0.31866568,0.9042242,0.8386992,0.33724055,0.6708419,0.29572287,0.11707275
1.0,0.7854388,0.9696416,0.9666919,0.58892816,0.7932757,0.745273,0.9383836,1.0,0.62665373,0.80843025,0.40075627,0.26413035
1.0,0.7723048,0.94470876,0.6848049,0.76560664,0.8882029,0.22039628,0.9326127,1.0,0.35668528,0.8044024,0.35263088,0.28618667
1.0,0.8248191,0.92714417,0.8505023,0.64782095,0.9479609,0.68113214,0.9060637,0.97939515,0.72445995,0.7655439,0.32543543,0.10858945
1.0,0.94734704,0.9788549,0.76586354,0.64782095,0.959762,0.40104544,0.98331404,0.97868836,0.7398934,0.7533199,0.29688907,0.16638587
1.0,0.9793068,0.9846777,0.87914735,0.5300354,0.9872273,0.4125256,0.9623132,0.9901924,0.42428252,0.6968663,0.30271232,0.14909226
1.0,0.79333687,0.98630244,0.6643021,0.64782095,0.938177,0.2772469,0.97505087,0.9897061,0.39967048,0.74304664,0.38914272,0.2523038
1.0,0.85557914,0.94891346,0.95619005,0.64782095,0.9715755,0.51944315,0.96601266,0.9788836,0.9788947,0.8267992,0.30479646,0.13008304
1.0,0.97534484,0.96418285,0.9860505,0.76560664,0.64733225,0.18415123,0.95683134,1.0,0.35906282,0.76731586,0.45114344,0.49143398
1.0,0.94408154,0.93432856,0.9823091,0.64782095,0.88841116,0.5554802,0.8851966,0.9793965,0.800785,0.8080735,0.25583625,0.119958326
1.0,0.8752241,0.9746369,0.7855164,0.76560664,0.8004613,0.5547438,0.9460829,1.0,0.58462685,0.81104916,0.30945,0.29670465
1.0,0.78145826,0.98665,0.96510786,0.8244994,0.61399794,0.33721536,0.9567114,0.5905533,0.7674205,0.82125014,0.28177813,0.21950175
1.0,0.6501972,0.9566152,0.9919556,0.76560664,0.8134148,0.33748358,0.9185742,1.0,0.70676315,0.83288944,0.39547127,0.24551837
1.0,0.8960982,0.91088086,0.9553476,0.76560664,0.849269,0.2486924,0.8665849,1.0,0.56908125,0.8192497,0.35368833,0.3884502
1.0,0.8510365,0.9934532,0.92095774,0.64782095,0.73918235,0.16700834,0.9782523,0.95211256,0.4468494,0.7003374,0.37592426,0.24839996
1.0,0.68895495,0.963052,0.8460243,0.64782095,0.8618153,0.51309305,0.97314394,0.9594648,0.49150553,0.75652295,0.2743936,0.13008304
1.0,0.7853319,0.9766617,0.26456672,0.64782095,0.82318133,0.37637693,0.8321314,0.9850494,0.44041708,0.87293637,0.3401604,0.20236568
1.0,0.9272438,0.962787,0.9828218,0.64782095,0.9726858,0.46781093,0.94363713,0.99157894,0.6649125,0.85213876,0.33004028,0.14581344
0.9999832,0.7832209,0.97713083,0.27761084,0.58892816,0.7400575,0.37707925,0.83950555,1.0,0.48211002,0.9762735,0.2712102,0.3438176
