x,y,species cloglog values
558.0,558.0,0.44621477
559.0,559.0,0.47906893
560.0,560.0,1.6153624E-4
561.0,561.0,0.83528167
562.0,562.0,0.027818877
563.0,563.0,0.11389351
564.0,564.0,0.43975255
565.0,565.0,0.5791087
566.0,566.0,0.11082542
567.0,567.0,0.005524512
568.0,568.0,0.51589394
569.0,569.0,0.0645544
570.0,570.0,0.2182771
571.0,571.0,0.1567736
572.0,572.0,0.34805337
573.0,573.0,0.13484578
574.0,574.0,0.058648422
575.0,575.0,0.036635634
576.0,576.0,0.245367
577.0,577.0,0.064930014
578.0,578.0,0.034701634
579.0,579.0,0.40013787
580.0,580.0,0.21047579
581.0,581.0,0.003338391
582.0,582.0,0.55689603
583.0,583.0,0.15973824
584.0,584.0,0.20125009
585.0,585.0,0.33651137
586.0,586.0,0.06466453
587.0,587.0,0.07967514
588.0,588.0,0.07660915
589.0,589.0,0.024849048
590.0,590.0,0.28716052
591.0,591.0,0.042567123
592.0,592.0,0.0037528388
593.0,593.0,0.21789001
594.0,594.0,0.9801497
595.0,595.0,0.29367453
596.0,596.0,0.07369028
597.0,597.0,0.2187301
598.0,598.0,0.11424902
599.0,599.0,0.16813229
600.0,600.0,0.11329135
601.0,601.0,0.080934025
602.0,602.0,0.13362679
603.0,603.0,0.14887542
604.0,604.0,0.688283
605.0,605.0,0.1529279
606.0,606.0,0.104033366
607.0,607.0,0.2877512
608.0,608.0,0.09878924
609.0,609.0,0.3241752
610.0,610.0,0.05003173
611.0,611.0,0.09811465
612.0,612.0,0.056225218
613.0,613.0,0.099243276
614.0,614.0,0.8503246
615.0,615.0,0.5201491
616.0,616.0,0.49535412
617.0,617.0,0.07784982
618.0,618.0,0.10445757
619.0,619.0,0.38698074
620.0,620.0,0.8985053
621.0,621.0,0.0154996505
622.0,622.0,0.2564146
623.0,623.0,0.07686004
624.0,624.0,0.6454992
625.0,625.0,0.030456096
626.0,626.0,0.7500729
627.0,627.0,0.038314547
628.0,628.0,0.15579854
629.0,629.0,0.5731777
630.0,630.0,0.063729376
631.0,631.0,0.026599126
632.0,632.0,0.1425155
633.0,633.0,0.061713237
634.0,634.0,0.3128321
635.0,635.0,0.1389666
636.0,636.0,0.013977627
637.0,637.0,0.5024882
638.0,638.0,0.034584776
639.0,639.0,0.6271395
640.0,640.0,0.2799415
641.0,641.0,0.6876312
642.0,642.0,0.25093243
643.0,643.0,0.011738676
644.0,644.0,0.1579251
645.0,645.0,0.02179838
646.0,646.0,0.035444587
647.0,647.0,0.006916127
648.0,648.0,0.3053364
649.0,649.0,0.43505356
650.0,650.0,0.11230579
651.0,651.0,0.031479128
652.0,652.0,0.001830197
653.0,653.0,0.034988012
654.0,654.0,0.025684489
655.0,655.0,0.03934821
656.0,656.0,0.041768465
657.0,657.0,0.115380906
658.0,658.0,0.014642703
659.0,659.0,0.8964755
660.0,660.0,0.46869463
661.0,661.0,0.25437418
662.0,662.0,0.09778148
663.0,663.0,0.7496939
664.0,664.0,0.013734765
665.0,665.0,0.8929752
666.0,666.0,0.04972263
667.0,667.0,0.104646206
668.0,668.0,0.9238956
669.0,669.0,0.31563857
670.0,670.0,0.09196469
671.0,671.0,0.02644848
672.0,672.0,0.06576353
673.0,673.0,0.026759943
674.0,674.0,0.03694726
675.0,675.0,0.015264637
676.0,676.0,0.0139312865
677.0,677.0,0.57627326
678.0,678.0,0.019339478
679.0,679.0,0.7694474
680.0,680.0,0.43351185
681.0,681.0,0.27041918
682.0,682.0,0.51667166
683.0,683.0,0.58645326
684.0,684.0,0.061901454
685.0,685.0,0.11968017
686.0,686.0,0.2490493
687.0,687.0,0.39961123
688.0,688.0,0.36361036
689.0,689.0,0.014168364
690.0,690.0,0.4417293
691.0,691.0,0.1217617
692.0,692.0,0.020670358
693.0,693.0,0.13029799
694.0,694.0,0.83656085
695.0,695.0,0.09750946
696.0,696.0,0.046718534
697.0,697.0,0.07320811
698.0,698.0,0.014352972
699.0,699.0,0.35094807
700.0,700.0,0.20206074
701.0,701.0,0.23217078
702.0,702.0,0.52455634
703.0,703.0,0.25226325
704.0,704.0,0.22699052
705.0,705.0,0.02692173
706.0,706.0,0.010866524
707.0,707.0,0.63128245
708.0,708.0,0.44949043
709.0,709.0,0.6700932
710.0,710.0,0.3817597
711.0,711.0,3.396563E-4
712.0,712.0,0.0012975525
713.0,713.0,0.27638528
714.0,714.0,0.94644403
715.0,715.0,0.1713168
716.0,716.0,0.014481002
717.0,717.0,0.05603919
718.0,718.0,0.042925373
719.0,719.0,0.308335
720.0,720.0,0.11713078
721.0,721.0,0.77153665
722.0,722.0,0.19554155
723.0,723.0,0.014396193
724.0,724.0,0.81338584
725.0,725.0,0.05126174
726.0,726.0,0.47558555
727.0,727.0,0.2340844
728.0,728.0,0.12788169
729.0,729.0,0.049280256
730.0,730.0,0.18945453
731.0,731.0,0.09992721
732.0,732.0,0.018697096
733.0,733.0,0.4069392
734.0,734.0,0.22230703
735.0,735.0,0.01831116
736.0,736.0,0.01272898
737.0,737.0,0.27453429
738.0,738.0,0.32084092
739.0,739.0,0.30550048
740.0,740.0,0.3902658
741.0,741.0,0.4605448
742.0,742.0,0.5219205
743.0,743.0,0.95949405
744.0,744.0,0.24245864
745.0,745.0,0.34952244
746.0,746.0,0.09489937
747.0,747.0,0.030761326
748.0,748.0,0.40839946
749.0,749.0,0.24278998
750.0,750.0,0.2646058
751.0,751.0,0.021977516
752.0,752.0,0.018407835
753.0,753.0,0.05834077
754.0,754.0,0.21469676
755.0,755.0,0.018723639
756.0,756.0,0.029864267
757.0,757.0,0.23641504
758.0,758.0,0.32985112
759.0,759.0,0.63678396
760.0,760.0,0.3108881
761.0,761.0,0.016548073
762.0,762.0,0.14432745
763.0,763.0,0.42795527
764.0,764.0,0.074295774
765.0,765.0,0.02062698
766.0,766.0,0.24391952
767.0,767.0,0.37780166
768.0,768.0,0.19053149
769.0,769.0,0.36056888
770.0,770.0,0.5174816
771.0,771.0,0.23737635
772.0,772.0,0.0905114
773.0,773.0,0.30560684
774.0,774.0,0.29407147
775.0,775.0,0.04811115
776.0,776.0,0.22618318
777.0,777.0,0.17326245
778.0,778.0,0.16990466
779.0,779.0,0.15322883
780.0,780.0,0.18069065
781.0,781.0,0.7292332
782.0,782.0,0.104035266
783.0,783.0,0.04975962
784.0,784.0,0.2874399
785.0,785.0,0.5284652
786.0,786.0,0.27160043
787.0,787.0,0.2815455
788.0,788.0,0.79945326
789.0,789.0,0.1026177
790.0,790.0,0.07718151
791.0,791.0,0.12958318
792.0,792.0,0.094496265
793.0,793.0,0.24908575
794.0,794.0,0.32645628
795.0,795.0,0.02608395
796.0,796.0,0.8448474
797.0,797.0,0.08827196
798.0,798.0,0.21210493
799.0,799.0,0.04916616
800.0,800.0,0.04574187
801.0,801.0,0.007991099
802.0,802.0,0.07406054
803.0,803.0,0.043616477
804.0,804.0,0.01815571
805.0,805.0,0.003015602
806.0,806.0,0.75293344
807.0,807.0,0.1511725
808.0,808.0,0.24361704
809.0,809.0,0.16638447
810.0,810.0,0.040574774
811.0,811.0,0.0081683695
812.0,812.0,0.20791201
813.0,813.0,0.010102493
814.0,814.0,0.028750146
815.0,815.0,0.1255978
816.0,816.0,0.08917467
817.0,817.0,0.19498087
818.0,818.0,0.13247363
819.0,819.0,0.29793882
820.0,820.0,0.21486913
821.0,821.0,0.010793315
822.0,822.0,0.05051593
823.0,823.0,0.68254817
824.0,824.0,0.06497094
825.0,825.0,0.21939288
826.0,826.0,0.2111874
827.0,827.0,0.45150563
828.0,828.0,0.116545655
829.0,829.0,0.32944757
830.0,830.0,0.015521415
831.0,831.0,0.63396686
832.0,832.0,0.20547187
833.0,833.0,0.20789815
834.0,834.0,0.13534479
835.0,835.0,0.21476297
836.0,836.0,0.016505057
837.0,837.0,0.02982858
838.0,838.0,0.9275291
839.0,839.0,0.28828606
840.0,840.0,0.016756848
841.0,841.0,0.08035954
842.0,842.0,0.63573766
843.0,843.0,0.25544792
844.0,844.0,0.4452728
845.0,845.0,0.60817003
846.0,846.0,0.04238099
847.0,847.0,0.273963
848.0,848.0,0.7170243
849.0,849.0,0.014436595
850.0,850.0,0.04401486
851.0,851.0,0.009238051
852.0,852.0,0.6863693
853.0,853.0,0.09668556
854.0,854.0,0.8321171
855.0,855.0,0.46847782
856.0,856.0,0.12243279
857.0,857.0,0.07942802
858.0,858.0,0.11449781
859.0,859.0,0.073519334
860.0,860.0,0.052760422
861.0,861.0,0.3348137
862.0,862.0,0.27018234
863.0,863.0,0.4647964
864.0,864.0,0.20215729
865.0,865.0,0.32327926
866.0,866.0,0.14666829
867.0,867.0,0.13953948
868.0,868.0,0.93472564
869.0,869.0,0.070969716
870.0,870.0,0.3769741
871.0,871.0,0.5804478
872.0,872.0,0.057809107
873.0,873.0,0.04328929
874.0,874.0,0.1959851
875.0,875.0,0.09977139
876.0,876.0,0.357473
877.0,877.0,0.24104242
878.0,878.0,0.5010714
879.0,879.0,0.01738918
880.0,880.0,0.04003579
881.0,881.0,0.18464439
882.0,882.0,0.20156276
883.0,883.0,0.032313827
884.0,884.0,0.5742005
885.0,885.0,0.35359207
886.0,886.0,0.40663138
887.0,887.0,0.81370425
888.0,888.0,0.2725833
889.0,889.0,0.009315866
890.0,890.0,0.06986957
891.0,891.0,0.20041993
892.0,892.0,0.030088712
893.0,893.0,0.14853112
894.0,894.0,0.24827851
895.0,895.0,0.4799419
896.0,896.0,0.5111505
897.0,897.0,0.82376236
898.0,898.0,0.22120023
899.0,899.0,0.07179448
900.0,900.0,0.021480625
901.0,901.0,0.09732595
902.0,902.0,0.07146058
903.0,903.0,0.16284621
904.0,904.0,0.0524448
905.0,905.0,0.18333893
906.0,906.0,0.003794582
907.0,907.0,0.15366535
908.0,908.0,0.3362485
909.0,909.0,0.18056479
910.0,910.0,0.5111738
911.0,911.0,0.83523715
912.0,912.0,0.24300314
913.0,913.0,0.12502797
914.0,914.0,0.6866558
915.0,915.0,0.12518331
916.0,916.0,0.030367881
917.0,917.0,0.84799945
918.0,918.0,0.07128529
919.0,919.0,0.16848074
920.0,920.0,0.07155768
921.0,921.0,0.25119692
922.0,922.0,0.53560114
923.0,923.0,0.2827576
924.0,924.0,0.13981915
925.0,925.0,0.59058565
926.0,926.0,0.78322786
927.0,927.0,0.32168165
928.0,928.0,0.084762655
929.0,929.0,0.13932979
930.0,930.0,0.052306958
931.0,931.0,0.04075075
932.0,932.0,0.03621056
933.0,933.0,0.17138074
934.0,934.0,0.46297362
935.0,935.0,0.07377715
936.0,936.0,0.1250363
937.0,937.0,0.47032455
938.0,938.0,0.08449362
939.0,939.0,0.032801602
940.0,940.0,0.21610214
941.0,941.0,0.02626439
942.0,942.0,0.6521282
943.0,943.0,0.012465655
944.0,944.0,0.30806166
945.0,945.0,0.08052662
946.0,946.0,0.2686228
947.0,947.0,0.14122078
948.0,948.0,0.0073610437
949.0,949.0,0.18939517
950.0,950.0,0.023370396
951.0,951.0,0.27625167
952.0,952.0,0.019070972
953.0,953.0,0.0076056365
954.0,954.0,0.13479677
955.0,955.0,0.05711977
956.0,956.0,0.2530206
957.0,957.0,0.008787945
958.0,958.0,0.26960915
959.0,959.0,0.43186986
960.0,960.0,0.008836064
961.0,961.0,0.27367616
962.0,962.0,0.38471135
963.0,963.0,0.0042045373
964.0,964.0,0.76021665
965.0,965.0,0.3556305
